Taxa_ID	Grupos presentes	Familia	Genero	H-10	H-118	H-119	H-120	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	OMC-125	OMC-126	OMC-288	OMC-446
DELTA-10_SRR073438_s_5	O	Delta	Delta_10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DELTA-10_HvCF_A1_ms_1	O	Delta	Delta_10	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
DELTA-8_ERR844003_ms_1	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DELTA-8_eld241-t0_s_1_1	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
DELTA-8_HvCF_E11_ms_3	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
DELTA-8_SRR073439_s_2	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
DELTA-8_ERR844019_ms_1	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
GAMMA-2_cs_ms_21_1	O	Gamma	Gamma_2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DELTA-8_ERR844070_ms_2	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
DELTA-8_eld314-t0_s_1_1	O	Delta	Delta_8	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
DELTA-10_ERR844020_ms_1	O OMC	Delta	Delta_10	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0
GAMMA-2_HvCF_B5_ms_2	O OMC	Gamma	Gamma_2	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	1
BETA-6_Fferm_ms_11	OMC	Beta	Beta_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
