	chao1	observed_otus	shannon	simpson	goods_coverage
2_O-420	3.0	2.0	1.0	0.5	0.0
300_O-420	1.0	1.0	-0.0	0.0	0.0
301_O-420	0.0	0.0	nan	nan	nan
302_O-420	1.0	1.0	-0.0	0.0	0.0
303_O-420	0.0	0.0	nan	nan	nan
304_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
305_O-420	3.0	2.0	1.0	0.5	0.0
306_O-420	1.0	1.0	-0.0	0.0	0.0
307_O-420	0.0	0.0	nan	nan	nan
308_O-420	0.0	0.0	nan	nan	nan
309_O-420	3.0	2.0	1.0	0.5	0.0
30_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
310_O-420	1.0	1.0	-0.0	0.0	0.0
311_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
312_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
313_O-420	1.0	1.0	-0.0	0.0	0.0
314_O-420	3.0	2.0	1.0	0.5	0.0
315_O-420	3.0	2.0	1.0	0.5	0.0
316_O-420	3.0	2.0	1.0	0.5	0.0
317_O-420	3.0	2.0	1.0	0.5	0.0
318_O-420	3.0	2.0	1.0	0.5	0.0
319_O-420	0.0	0.0	nan	nan	nan
31_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
320_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
321_O-420	1.0	1.0	-0.0	0.0	0.0
322_O-420	3.0	2.0	1.0	0.5	0.0
323_O-420	3.0	2.0	1.0	0.5	0.0
324_O-420	3.0	2.0	1.0	0.5	0.0
325_O-420	3.0	2.0	1.0	0.5	0.0
326_O-420	1.0	1.0	-0.0	0.0	0.0
327_O-420	1.0	1.0	-0.0	0.0	0.0
328_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
329_O-420	1.0	1.0	-0.0	0.0	0.0
32_O-420	1.0	1.0	-0.0	0.0	0.0
330_O-420	1.0	1.0	-0.0	0.0	0.0
331_O-420	1.0	1.0	-0.0	0.0	0.0
332_O-420	3.0	2.0	1.0	0.5	0.0
333_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
334_O-420	3.0	2.0	1.0	0.5	0.0
335_O-420	3.0	2.0	1.0	0.5	0.0
336_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
337_O-420	0.0	0.0	nan	nan	nan
338_O-420	1.0	1.0	-0.0	0.0	0.0
339_O-420	3.0	2.0	1.0	0.5	0.0
33_O-420	0.0	0.0	nan	nan	nan
340_O-420	0.0	0.0	nan	nan	nan
341_O-420	3.0	2.0	1.0	0.5	0.0
342_O-420	3.0	2.0	1.0	0.5	0.0
343_O-420	1.0	1.0	-0.0	0.0	0.0
344_O-420	1.0	1.0	-0.0	0.0	0.0
345_O-420	3.0	2.0	1.0	0.5	0.0
346_O-420	1.0	1.0	-0.0	0.0	0.0
347_O-420	3.0	2.0	1.0	0.5	0.0
348_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
349_O-420	3.0	2.0	1.0	0.5	0.0
34_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
350_O-420	0.0	0.0	nan	nan	nan
351_O-420	3.0	2.0	1.0	0.5	0.0
352_O-420	1.0	1.0	-0.0	0.0	0.0
353_O-420	1.0	1.0	-0.0	0.0	0.0
354_O-420	3.0	2.0	1.0	0.5	0.0
355_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
356_O-420	1.0	1.0	-0.0	0.0	0.0
357_O-420	1.0	1.0	-0.0	0.0	0.0
358_O-420	1.0	1.0	-0.0	0.0	0.0
359_O-420	3.0	2.0	1.0	0.5	0.0
35_O-420	1.0	1.0	-0.0	0.0	0.0
360_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
361_O-420	3.0	2.0	1.0	0.5	0.0
362_O-420	3.0	2.0	1.0	0.5	0.0
363_O-420	1.0	1.0	-0.0	0.0	0.0
364_O-420	3.0	2.0	1.0	0.5	0.0
365_O-420	3.0	2.0	1.0	0.5	0.0
366_O-420	3.0	2.0	1.0	0.5	0.0
367_O-420	1.0	1.0	-0.0	0.0	0.0
368_O-420	3.0	2.0	1.0	0.5	0.0
369_O-420	1.0	1.0	-0.0	0.0	0.0
36_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
370_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
371_O-420	6.0	3.0	1.584962500721156	0.6666666666666667	0.0
372_O-420	3.0	2.0	1.0	0.5	0.0
373_O-420	1.0	1.0	-0.0	0.0	0.0
374_O-420	1.0	1.0	-0.0	0.0	0.0
375_O-420	3.0	2.0	1.0	0.5	0.0
376_O-420	3.0	2.0	1.0	0.5	0.0
377_O-420	3.0	2.0	1.0	0.5	0.0
378_O-420	3.0	2.0	1.0	0.5	0.0
379_O-420	0.0	0.0	nan	nan	nan
37_O-420	0.0	0.0	nan	nan	nan
380_O-420	1.0	1.0	-0.0	0.0	0.0
